account_id,video_id,video_title,channel_name,video_duration,date_of_publication,number_of_views,number_of_likes,video_category,number_of_dislikes,number_of_comments
account4,TX3zLfjk4Q0,Малоизвестные факты о космосе,ЗЛОЙ АНАЛИТИК ВСЕЛЕННОЙ.,PT2H59M28S,2021-08-29T04:30:22Z,1357698,12334,22,,821
account4,lEdgDA66vPE,ВСЕ ОБО ВСЕМ.КАК УСТРОЕНА ВСЕЛЕННАЯ. КОСМОС. 10 ЧАСОВ ПУТЕШЕСТВИЯ.,ЗЛОЙ АНАЛИТИК ВСЕЛЕННОЙ.,PT10H31M41S,2020-06-06T00:48:04Z,325289,4461,22,,364
account4,0m1P9Rk5n-g,National Geographic. Земля: Биография Планеты,slavalas,PT1H34M,2011-07-23T14:35:30Z,5268133,23045,28,,3347
account4,78Bvj968htw,ПУТЕШЕСТВИЕ К БЛИЖАЙШИМ ЭКЗОПЛАНЕТАМ,KOSMO,PT1H12M40S,2020-04-29T15:54:54Z,1733023,21480,28,,1432
account4,IOHifVfhjfg,"Сергей Попов: ""Тёмное вещество""",Центр Архэ,PT2H15M33S,2017-02-17T14:19:11Z,1032130,10258,27,,1175
account4,YPMU2dsIoEo,Есть ли границы у Вселенной | Сквозь кротовую нору с Морганом Фрименом | Discovery,Discovery Channel Россия,PT44M17S,2020-12-06T16:00:07Z,2429266,24411,27,,2924
account4,AQV4fPHqj2g,Путешествие на край вселенной HD,Бояркин Эдуард,PT1H29M4S,2014-12-17T11:43:11Z,2506,18,2,,1
account4,zgZdx8p4Ito,Владимир Сурдин. Поиски жизни и разума вне Земли,ScienceVideoLab,PT2H45M1S,2017-02-01T07:37:30Z,2595087,27045,28,,2391
account4,0S0m-_KxPDg,National Geographic Путешествие на край Вселенной,Владимир Иванов,PT1H33M23S,2015-09-08T10:37:56Z,109057,1025,27,,67
account4,RcBGYODF5Ks,ПУТЕШЕСТВИЕ ПО СОЛНЕЧНОЙ СИСТЕМЕ,KOSMO,PT1H33M30S,2020-09-05T13:20:20Z,6454819,59915,27,,2560
account4,nxNvK5FUVDY,Как устроена вселенная - Квазары (премьера нового сезона Discovery),Ridddle,PT43M45S,2018-09-19T19:00:09Z,4295819,59863,24,,4430
account4,0Z69rl2oclQ,"Владимир Сурдин: ""Загадки черных дыр""",Центр Архэ,PT1H56M25S,2021-07-06T18:30:10Z,609884,10190,27,,866
account4,N4CRz-KRZrM,"Сергей Попов: ""Законы природы и математика""",Центр Архэ,PT2H28M13S,2020-02-24T18:00:12Z,357103,6412,27,,538
account4,gM_5iLJ3bMc,10 главных загадок Астрофизики. Сергей Попов,ScienceVideoLab,PT2H20M15S,2019-09-20T17:00:01Z,949092,16951,28,,2184
account4,K2_ztJe7QYQ,"Станислав Дробышевский| ""Как выжить в ледниковый период""",Центр Архэ,PT2H26M1S,2020-08-31T19:14:39Z,293342,7276,27,,417
account4,r36ApsGwbtk,"Дмитрий Казаков: ""Как устроен мир. От атомов к ядрам и элементарным частицам.""",Центр Архэ,PT1H36M15S,2019-02-22T11:46:37Z,1094680,20550,27,,2160
account4,BfKMiJHx8K4,Нейтронные звезды и черные дыры — курс Сергея Попова,ПостНаука,PT2H40M25S,2019-01-27T11:14:29Z,3354572,26045,28,,2218
account4,Kb-9T9moeBQ,Темная материя - фейк? Дмитрий Вибе. #Постскриптум,ScienceVideoLab,PT2H4M55S,2021-07-03T18:14:35Z,75114,4016,28,,415
account4,Bgdi1K6KyAA,"Эфир ""Вселенная во тьме. Темная материя и темная энергия"" в рамках рубрики ""Астрономическая смесь""",Центр Архэ,PT2H29M39S,2020-06-05T14:49:14Z,64576,1548,27,,136
account4,BJSITWkSDQg,Основы функционирования компьютерных сетей,Industrial Software Engineering Online,PT1H57M4S,2015-03-30T10:46:12Z,217739,5368,27,,122
account4,LdcfyB3yvn4,"Роман Орехов: ""Мир строителей пирамид""",Центр Архэ,PT2H47M32S,2015-12-23T10:55:29Z,417518,3475,27,,1057
account4,j8EWEeav42Q,"Михаил Никитин: ""Зарождение жизни на Земле и других планетах""",Центр Архэ,PT2H18M25S,2017-03-23T11:34:45Z,599385,9739,27,,1165
account4,zBZgCVD3mJU,Откуда берутся мифы про НЛО? Что скрывает НАСА?  Дмитрий Вибе.  #Постскриптум 2,ScienceVideoLab,PT1H57M35S,2020-10-07T18:32:06Z,69149,4602,28,,547
account4,p4URRhq1FtU,Сложные вопросы о квантовой физике. Вадим Родимин. #Постскриптум,ScienceVideoLab,PT2H13M26S,2021-07-14T18:32:02Z,37433,2025,28,,334
account4,gM_5iLJ3bMc,10 главных загадок Астрофизики. Сергей Попов,ScienceVideoLab,PT2H20M15S,2019-09-20T17:00:01Z,949092,16951,28,,2184
account4,ieWdMYMZg-g,"А. Панчин. Астрология, соционика и родственные заблуждения. Научная станция-7",ScienceVideoLab,PT3H14M36S,2020-02-11T09:03:46Z,270561,9231,28,,1920
account4,W5k7YcWpCoE,Сверхцивилизации прошлого реальны? Василий Новиков. #Постскриптум,ScienceVideoLab,PT1H43M30S,2021-01-06T18:08:08Z,77675,5549,28,,451
account4,ii3Iis70hQw,Что ответить креационисту? Михаил Никитин. Постскриптум,ScienceVideoLab,PT2H4M31S,2021-05-19T18:39:40Z,71040,5765,28,,868
account4,0Z69rl2oclQ,"Владимир Сурдин: ""Загадки черных дыр""",Центр Архэ,PT1H56M25S,2021-07-06T18:30:10Z,609884,10190,27,,866
account4,Gql8iaJ1KpE,А был ли Великий потоп? Павел Селиванов. #Постскриптум,ScienceVideoLab,PT2H6M4S,2020-12-26T18:18:31Z,48265,3110,28,,471
account4,zyZAMR56mXY,Норвегия. Богатая и очень красивая. Большой Выпуск.,Антон Птушкин,PT1H8M,2021-11-16T11:06:12Z,12413094,629143,19,,42287
account4,9jJ3tff2qH4,"Они делают машины, которые делают процессоры | Об ASML и EUV системах",Onliner Технологии,PT13M1S,2021-08-02T11:32:51Z,192395,8426,28,,780
account4,aPPK--s9KSY,Спилберг нам ВРАЛ? Дмитрий Соболев aka Упоротый Палеонтолог #Постскриптум,ScienceVideoLab,PT2H8M55S,2021-10-16T18:20:40Z,28252,2630,28,,193
account4,stboHHyQG0w,Мифы о зарождении жизни. Михаил Никитин. #Постскриптум,ScienceVideoLab,PT2H8M2S,2020-09-12T18:23:53Z,137754,9590,28,,1161
account4,4XgES8FPq60,Есть ли жизнь на Марсе? Сурдин против Никитина I Дебаты “Убеди скептика” I УПМ Z-17,ScienceVideoLab,PT48M30S,2020-11-07T15:58:31Z,108416,7068,28,,864
account4,ieWdMYMZg-g,"А. Панчин. Астрология, соционика и родственные заблуждения. Научная станция-7",ScienceVideoLab,PT3H14M36S,2020-02-11T09:03:46Z,270561,9231,28,,1920
account4,iZ3voGhCRZ4,Михаил Никитин: Происхождение жизни и жизнь во Вселенной,Summer Space School,PT1H6M5S,2020-12-12T16:02:12Z,69066,2687,28,,518
