account_id,video_id,video_title,channel_name,video_duration,date_of_publication,number_of_views,number_of_likes,video_category,number_of_dislikes,number_of_comments
account8,exUgqHFl5cw,НИКОГДА НЕ ПОВТОРЯЙ ЭТО В МАЙНКРАФТ,Поззи,PT20M42S,2021-12-01T14:16:30Z,833715,69117,20,,2407
account8,bKGdYl1T4xk,ЗАСМЕЯЛСЯ - ЗАДОНАТИЛ (950 СЕКУНД СМЕХА),Поззи,PT15M51S,2021-12-14T15:15:02Z,555448,47328,20,,4147
account8,VjJPioZmF4I,ЗАСМЕЯЛСЯ - ЗАДОНАТИЛ (990 СЕКУНД КРИНЖА),Поззи,PT16M31S,2021-10-29T14:25:56Z,2552882,143446,24,,4292
account8,Ouefoz6fXe0,БОМЖ vs ДОНАТЕР В BRAWL STARS,Поззи,PT16M23S,2021-10-28T15:17:45Z,1589196,107780,20,,3802
account8,PFjQE9Qitjg,Популярное из Тик Ток: радость перфекциониста (29 часть),Фактория,PT11M,2021-12-11T07:00:09Z,372152,8400,24,,307
account8,ajqcj8DrBCk,100 ДНЕЙ НА ОДНОМ БЛОКЕ В МАЙНКРАФТ!,Поззи,PT16M35S,2021-06-13T16:53:27Z,2219341,107462,20,,3492
account8,iG0DtLf3y3o,ПРАНКИ ДЛЯ ГРАБИТЕЛЕЙ ОТ ТРУМ ТРУМ,Поззи,PT16M28S,2019-11-21T16:06:17Z,12977264,346651,24,,14166
account8,4Mr7Aurjka0,ИГРА ЗА 50.000 РУБЛЕЙ,Поззи,PT20M33S,2021-10-16T17:55:33Z,1946816,105661,20,,3356
account8,CYZwqhxssk8,СИМУЛЯТОР ВЛАДА А4,Поззи,PT15M6S,2021-08-15T15:14:23Z,2084126,114511,20,,4851
account8,lZ7uGfs5UMM,ПИРАТСКИЙ КЛОН ХАГГИ ВАГГИ,Поззи,PT15M1S,2021-12-13T15:07:43Z,541318,25374,20,,1559
account8,oqm-3ldSQtU,УДИВИЛСЯ - ЗАДОНАТИЛ,Поззи,PT17M8S,2021-10-15T16:18:11Z,2278850,107563,24,,6932
account8,YUU2QDl82A8,ЗАПРЕЩЕННЫЕ МАЙНКРАФТ ТИК-ТОКИ НА ЮТУБЕ,Поззи,PT20M30S,2021-07-30T14:54:34Z,1300529,54124,24,,3313
account8,UY6boTwjCiI,Популярное из Тик Ток: сделано своими руками (часть 12),Фактория,PT11M16S,2021-08-19T07:00:06Z,979766,16306,24,,318
account8,rIaUQESY4ZI,Популярное из Тик Ток: такое случается только зимой (29 серия),Фактория,PT10M13S,2021-12-15T07:00:29Z,123436,4265,24,,134
account8,CgEJoBsBWtE,Популярное из Тик Ток: будни настоящих геймеров (28 часть),Фактория,PT10M26S,2021-12-07T07:00:02Z,438709,8574,24,,160
account8,mpkmvoXrCNE,50 сумасшедших ответов в школьных тетрадях,Фактория,PT10M48S,2021-05-24T08:32:09Z,6642293,124720,24,,4528
"account8,C-Qs3O0n98w,""Кто последний выйдет из круга, получит 500 000$ ЧЕЛЛЕНДЖ"",MrBeast На Русском,PT18M21S,2021-11-06T13:01:44Z,6389227,194539,22,,3652"
account8,Gj6Ym6k4sL8,Вандализм или искусство (2 серия),Фактория,PT10M43S,2021-12-09T07:00:07Z,454023,8500,24,,177
"account8,qP8EYbn9gd4,""Популярное из Тик Ток: Вещи, которые каждый захочет себе (часть 8)"",Фактория,PT11M2S,2021-07-21T07:00:13Z,1481296,18178,24,,572"
"account8,8CEkbJwdWCA,""САМЫЙ ДОРОГОЙ НОВОГОДНИЙ СТОЛ  ЗА 116000 РУБЛЕЙ / ИКРА УЛИТКИ, КАМЧАТСКИЙ КРАБ ."",vanzai,PT27M20S,2021-12-12T08:00:06Z,2640690,327759,22,,10594"
account8,6Ls3I809ZMU,60 идей использования снега,Фактория,PT10M30S,2021-12-13T07:00:01Z,285911,8685,24,,475
account8,ehEmFzhYmnI,Лучшие номера Романа Постовалова | Уральские пельмени,СТС,PT1H21S,2021-12-05T09:00:14Z,2787862,23951,1,,521
"account8,U0LB0Cv1P1M,""Популярное из Тик Ток: искусство, вышедшее на новый уровень (25 часть)"",Фактория,PT11M20S,2021-11-17T07:00:05Z,1860500,33866,24,,672"
account8,PFjQE9Qitjg,Популярное из Тик Ток: радость перфекциониста (29 часть),Фактория,PT11M,2021-12-11T07:00:09Z,372152,8400,24,,307
account8,ehEmFzhYmnI,Лучшие номера Романа Постовалова | Уральские пельмени,СТС,PT1H21S,2021-12-05T09:00:14Z,2787862,23951,1,,521
account8,6Ls3I809ZMU,60 идей использования снега,Фактория,PT10M30S,2021-12-13T07:00:01Z,285911,8685,24,,475
account8,EkWIGzbqSSI,Ноутбуки из хлама или почему я не люблю восстанавливать дорогие ноутбуки?,notebook-31,PT59M19S,2021-04-30T17:00:13Z,1672842,85087,28,,4322
"account8,8CEkbJwdWCA,""САМЫЙ ДОРОГОЙ НОВОГОДНИЙ СТОЛ  ЗА 116000 РУБЛЕЙ / ИКРА УЛИТКИ, КАМЧАТСКИЙ КРАБ ."",vanzai,PT27M20S,2021-12-12T08:00:06Z,2642253,327759,22,,10594"
account8,_isKsLYkOyM,Фото подписчиков Фактории (часть 67),Фактория,PT11M50S,2021-07-04T07:00:19Z,614961,13377,24,,1196
account8,bHu-rOsZGYI,Сборник Лучших Номеров Вячеслава Мясникова - Уральские Пельмени,Уральские Пельмени,PT3H1M45S,2021-12-02T11:00:13Z,1119496,10459,23,,411
"account8,D9lEWAi9Id4,""Секреты, скрытые от глаз"",Фактория,PT10M17S,2021-12-14T07:00:03Z,225242,7900,24,,162"
account8,1vn154ANmp0,Макромиры - Зима наступает. Где зимуют насекомые. Документальный фильм в FullHD 1080p,Удивительный Мир в HD и 4K,PT46M2S,2020-08-03T09:36:29Z,3816652,53501,15,,1965
account8,CgEJoBsBWtE,Популярное из Тик Ток: будни настоящих геймеров (28 часть),Фактория,PT10M26S,2021-12-07T07:00:02Z,438709,8575,24,,160
"account8,9FPUEmh6u-s,""Азбука Уральских пельменей - У, Ф, Х | #Лучшиевыпускиза2020год"",СТС,PT3H35M30S,2021-05-20T10:00:04Z,8668296,33063,1,,1367"
account8,rIaUQESY4ZI,Популярное из Тик Ток: такое случается только зимой (29 серия),Фактория,PT10M13S,2021-12-15T07:00:29Z,123436,4265,24,,134
account8,puwrL9Dmhq8,Увольте этих дизайнеров немедленно!,Фактория,PT10M10S,2021-12-08T07:00:12Z,387207,11129,24,,297
account8,MHLCDzeVHI0,УКРАЛ ТУРБО БМВ ЗА 180 СЕК! Я СТАЛ ЖЕЛЕЗНЫМ ЧЕЛОВЕКОМ | БИТВА ВОРОВ В ГТА 5 ОНЛАЙН,Джел,PT20M49S,2021-12-13T11:00:17Z,366487,17005,20,,2047
account8,ehEmFzhYmnI,Лучшие номера Романа Постовалова | Уральские пельмени,СТС,PT1H21S,2021-12-05T09:00:14Z,2787862,23951,1,,521
account8,CrtoCahpatU,Популярное из Тик Ток (часть 6),Фактория,PT11M23S,2021-07-07T07:00:06Z,2336347,31926,24,,272
