account_id,video_id,video_title,channel_name,video_duration,date_of_publication,number_of_views,number_of_likes,video_category,number_of_dislikes,number_of_comments
account5,bnW-j_0Eafw,UL Ep110 Part 2 Fish can't resist this jerkbait|Pudidi minnow|Harvest|Ultralight fishing Philippines,Prince Pudidi Fishing,PT29M36S,2021-12-14T06:32:30Z,2572,252,24,,77
account5,gDH8kGoZQ8c,РЫБАЛКА НА САЗАНА ЗИМОЙ. Уникальный случай на рыбалке и приключения после. На рыбалку с женой.,Always Alone,PT27M40S,2021-12-13T13:30:06Z,266203,26467,26,,1726
account5,oSmBDat-LJc,Рыбалка по красоте (серия # 29),Это не Диалоги О Рыбалке,PT22M31S,2021-12-13T15:23:18Z,109124,12094,26,,738
account5,-4_fkSudxkc,ОГРОМНЫЕ РЕЧНЫЕ ОКУНИ! МЫ НАШЛИ ИХ!,Костёр.Охота и Рыбалка.,PT32M23S,2021-12-12T10:31:47Z,75260,1360,19,,214
account5,EljTgIORSuc,ОНИ МЕНЯ ДОМОЙ НЕ ОТПУСКАЮТ!!! ДУБАСИМ С НИКОЛАЕВИЧЕМ ХАРЮЗЕЙ НА ТАЁЖНОЙ РЕКЕ!!!,Истории Рыбака,PT34M8S,2021-12-12T12:00:12Z,45412,823,26,,111
account5,u56rvw17EjI,Расставить не успел как пошли подъёмы. Щуки лесного озера на жерлицы и балансиры. Рыбалка со льда,ACTIVE FISHING,PT19M38S,2021-12-13T08:00:32Z,16719,516,26,,87
account5,gksKcu1RV-c,UL Ep. 100 | Mangrove snapper hunt to Frenzy emperor fish fishing | Ultralight fishing Philippines,Prince Pudidi Fishing,PT35M33S,2021-10-16T11:06:05Z,21818,794,24,,387
account5,3JTR1dI216g,UL Ep.98 Nakapagland ulit nito sa wakas|Yuko si Capung sa lakas nito| Ultralight Fishing Philippines,Prince Pudidi Fishing,PT39M19S,2021-09-26T04:19:48Z,24174,733,24,,337
account5,AmHKELPC7lw,UL Ep 104 Part 2|Fish after fish |Bite after bite| Cangkek in Harvest mode| UL Fishing Philippines,Prince Pudidi Fishing,PT34M59S,2021-11-04T03:14:14Z,16834,615,24,,296
account5,HkiF5FE9iMQ,UL Ep. 101 Mamaw Triple tail wrasse Paksiw sa gata| Catch & cook| Ultralight fishing Philippines,Prince Pudidi Fishing,PT42M40S,2021-10-23T06:58:28Z,16118,612,24,,331
account5,EkWIGzbqSSI,Ноутбуки из хлама или почему я не люблю восстанавливать дорогие ноутбуки?,notebook-31,PT59M19S,2021-04-30T17:00:13Z,1649609,84345,28,,4288
