account_id,video_id,video_title,channel_name,video_duration,date_of_publication,number_of_views,number_of_likes,video_category,number_of_dislikes,number_of_comments
account6,QsiImYTLvTk,30-Minute Fat-Burning Cardio Sculpt Workout With The Hollywood Trainer Jeanette Jenkins,POPSUGAR Fitness,PT32M16S,2016-08-07T16:00:02Z,4333680,44802,26,,1026
account6,jpizoUy4K9s,"30 MIN CALORIE KILLER HIIT Workout - Full body Cardio, No Equipment, No Repeat",growingannanas,PT35M52S,2020-12-25T08:00:11Z,5869598,104040,17,,2967
account6,ObCDRGuXGUA,"30-Minute Strength, Cardio, and Pilates Core Workout",POPSUGAR Fitness,PT32M6S,2018-03-04T17:01:09Z,3603928,36416,26,,815
account6,05fCNM9f0ic,30-Minute No-Equipment Cardio and Core Workout With Massy Arias,POPSUGAR Fitness,PT30M4S,2019-05-12T16:00:30Z,3235582,37186,26,,701
account6,JeYP5sySvJs,45-Minute Cardio and Toning Workout From Jennifer Lawrence's Trainer,POPSUGAR Fitness,PT47M4S,2016-09-18T16:00:01Z,2815687,30819,26,,804
account6,E_vcWKFAdUQ,30-Minute Butt and Abs Pilates Bikini Workout With Jake DuPree | Class FitSugar,POPSUGAR Fitness,PT30M50S,2016-03-20T16:00:00Z,5447049,61012,26,,2029
account6,hEgwjKXqSy8,30-Minute No-Equipment Cardio Workout to Burn Calories,POPSUGAR Fitness,PT32M44S,2017-10-08T16:00:07Z,1312156,14588,26,,451
account6,xy7BsNQXZr4,30-Minute Workout to Strengthen Your Core and Help Support Healthy Digestion,POPSUGAR Fitness,PT33M12S,2020-03-22T16:37:35Z,1097405,15793,26,,480
account6,amCAXuyxqgU,30-Minute Pilates-Fusion Cardio & Full-Body Toning Workout,POPSUGAR Fitness,PT34M31S,2020-05-03T16:00:10Z,1283006,18415,26,,529
account6,zejHjXjhdiY,30-Minute Bodyweight Workout,POPSUGAR Fitness,PT34M57S,2019-12-22T17:00:15Z,3023337,36389,26,,797
account6,_n0NN1gT934,45-Minute Calorie-Burning Ab-Blast Workout With The Hollywood Trainer Jeanette Jenkins,POPSUGAR Fitness,PT50M3S,2018-09-09T16:00:34Z,5136754,58287,26,,1151
account6,9FXUPBYt5Do,30-Minute High-Intensity Workout That Fuses Cardio and Pilates Moves,POPSUGAR Fitness,PT33M12S,2019-01-20T17:00:46Z,1290074,16737,26,,512
account6,Prl5NeXTDkk,"Day 1 - 30 MIN KILLER HIIT WORKOUT - Full Body, No Equipment, No Repeat",growingannanas,PT35M22S,2021-01-04T08:00:11Z,2225674,36943,17,,1533
account6,xSUXMwqZ3z0,30-Minute Cardio-Boxing Workout,POPSUGAR Fitness,PT33M44S,2018-12-16T17:00:29Z,1501180,18752,26,,528
account6,NKtDEgKKtwc,Burn Major Calories With This Cardio Workout You Can Do At Home,POPSUGAR Fitness,PT31M26S,2016-09-11T16:00:02Z,3301850,28623,26,,766
account6,05fCNM9f0ic,30-Minute No-Equipment Cardio and Core Workout With Massy Arias,POPSUGAR Fitness,PT30M4S,2019-05-12T16:00:30Z,3235582,37186,26,,701
account6,QsiImYTLvTk,30-Minute Fat-Burning Cardio Sculpt Workout With The Hollywood Trainer Jeanette Jenkins,POPSUGAR Fitness,PT32M16S,2016-08-07T16:00:02Z,4333680,44802,26,,1026
account6,E_vcWKFAdUQ,30-Minute Butt and Abs Pilates Bikini Workout With Jake DuPree | Class FitSugar,POPSUGAR Fitness,PT30M50S,2016-03-20T16:00:00Z,5447049,61012,26,,2029
account6,ObCDRGuXGUA,"30-Minute Strength, Cardio, and Pilates Core Workout",POPSUGAR Fitness,PT32M6S,2018-03-04T17:01:09Z,3603928,36416,26,,815
account6,Qn-EWs8-Yq0,Burn 400 Calories in 40 Minutes With This Bodyweight Workout,POPSUGAR Fitness,PT41M27S,2017-06-11T16:00:04Z,2567820,27133,26,,563
account6,JeYP5sySvJs,45-Minute Cardio and Toning Workout From Jennifer Lawrence's Trainer,POPSUGAR Fitness,PT47M4S,2016-09-18T16:00:01Z,2815687,30819,26,,804
account6,1paKPRZAxeg,"30-Minute Calorie-Burning, Tabata-Style HIIT Workout",POPSUGAR Fitness,PT33M19S,2017-12-31T17:00:52Z,1325111,14517,26,,598
account6,amCAXuyxqgU,30-Minute Pilates-Fusion Cardio & Full-Body Toning Workout,POPSUGAR Fitness,PT34M31S,2020-05-03T16:00:10Z,1283006,18415,26,,529
account6,_S92-wZ_tfM,30-Minute Calorie-Torching Cardio Workout With Weights,POPSUGAR Fitness,PT31M44S,2017-12-03T17:00:03Z,1696378,18759,26,,472
account6,9FXUPBYt5Do,30-Minute High-Intensity Workout That Fuses Cardio and Pilates Moves,POPSUGAR Fitness,PT33M12S,2019-01-20T17:00:46Z,1290074,16737,26,,512
account6,zejHjXjhdiY,30-Minute Bodyweight Workout,POPSUGAR Fitness,PT34M57S,2019-12-22T17:00:15Z,3023337,36389,26,,797
account6,JeYP5sySvJs,45-Minute Cardio and Toning Workout From Jennifer Lawrence's Trainer,POPSUGAR Fitness,PT47M4S,2016-09-18T16:00:01Z,2815687,30819,26,,804
account6,3oRqaFH75Go,20-Minute Flat-Belly and Toned-Arms Workout,POPSUGAR Fitness,PT22M30S,2017-01-22T17:00:00Z,3235493,32894,26,,483
account6,sAapLQCASOE,30-Minute No-Equipment Barre Sculpting Workout,POPSUGAR Fitness,PT33M27S,2018-02-25T17:01:12Z,6181822,67817,26,,1411
account6,05fCNM9f0ic,30-Minute No-Equipment Cardio and Core Workout With Massy Arias,POPSUGAR Fitness,PT30M4S,2019-05-12T16:00:30Z,3235582,37186,26,,701
account6,QsiImYTLvTk,30-Minute Fat-Burning Cardio Sculpt Workout With The Hollywood Trainer Jeanette Jenkins,POPSUGAR Fitness,PT32M16S,2016-08-07T16:00:02Z,4333680,44802,26,,1026
account6,jpizoUy4K9s,"30 MIN CALORIE KILLER HIIT Workout - Full body Cardio, No Equipment, No Repeat",growingannanas,PT35M52S,2020-12-25T08:00:11Z,5869598,104040,17,,2967
account6,zd8pDgK-HhQ,30-Minute Selena Gomez Workout For Flat Abs and Toned Legs,POPSUGAR Fitness,PT30M40S,2016-11-20T17:00:03Z,5174995,66565,26,,1129
account6,QsiImYTLvTk,30-Minute Fat-Burning Cardio Sculpt Workout With The Hollywood Trainer Jeanette Jenkins,POPSUGAR Fitness,PT32M16S,2016-08-07T16:00:02Z,4333680,44802,26,,1026
account6,jpizoUy4K9s,"30 MIN CALORIE KILLER HIIT Workout - Full body Cardio, No Equipment, No Repeat",growingannanas,PT35M52S,2020-12-25T08:00:11Z,5869598,104040,17,,2967
account6,ObCDRGuXGUA,"30-Minute Strength, Cardio, and Pilates Core Workout",POPSUGAR Fitness,PT32M6S,2018-03-04T17:01:09Z,3603928,36416,26,,815
account6,05fCNM9f0ic,30-Minute No-Equipment Cardio and Core Workout With Massy Arias,POPSUGAR Fitness,PT30M4S,2019-05-12T16:00:30Z,3235582,37186,26,,701
account6,JeYP5sySvJs,45-Minute Cardio and Toning Workout From Jennifer Lawrence's Trainer,POPSUGAR Fitness,PT47M4S,2016-09-18T16:00:01Z,2815687,30819,26,,804
account6,E_vcWKFAdUQ,30-Minute Butt and Abs Pilates Bikini Workout With Jake DuPree | Class FitSugar,POPSUGAR Fitness,PT30M50S,2016-03-20T16:00:00Z,5447049,61012,26,,2029
account6,hEgwjKXqSy8,30-Minute No-Equipment Cardio Workout to Burn Calories,POPSUGAR Fitness,PT32M44S,2017-10-08T16:00:07Z,1312156,14588,26,,451
account6,xy7BsNQXZr4,30-Minute Workout to Strengthen Your Core and Help Support Healthy Digestion,POPSUGAR Fitness,PT33M12S,2020-03-22T16:37:35Z,1097405,15793,26,,480
account6,amCAXuyxqgU,30-Minute Pilates-Fusion Cardio & Full-Body Toning Workout,POPSUGAR Fitness,PT34M31S,2020-05-03T16:00:10Z,1283006,18415,26,,529
account6,zejHjXjhdiY,30-Minute Bodyweight Workout,POPSUGAR Fitness,PT34M57S,2019-12-22T17:00:15Z,3023337,36389,26,,797
account6,_n0NN1gT934,45-Minute Calorie-Burning Ab-Blast Workout With The Hollywood Trainer Jeanette Jenkins,POPSUGAR Fitness,PT50M3S,2018-09-09T16:00:34Z,5136754,58287,26,,1151
account6,_Zem0_qsDg0,This Killer Workout Torches Calories — About 500 in 45 Minutes,POPSUGAR Fitness,PT45M54S,2016-11-27T17:00:02Z,25348962,324311,26,,8836
account6,ObCDRGuXGUA,"30-Minute Strength, Cardio, and Pilates Core Workout",POPSUGAR Fitness,PT32M6S,2018-03-04T17:01:09Z,3603928,36416,26,,815
account6,I4C4CsxVk_w,45-Minute Workout With Weights to Boost Your Metabolism,POPSUGAR Fitness,PT46M3S,2017-05-28T16:00:03Z,1666230,16072,26,,350
account6,amCAXuyxqgU,30-Minute Pilates-Fusion Cardio & Full-Body Toning Workout,POPSUGAR Fitness,PT34M31S,2020-05-03T16:00:10Z,1283006,18415,26,,529
account6,9FXUPBYt5Do,30-Minute High-Intensity Workout That Fuses Cardio and Pilates Moves,POPSUGAR Fitness,PT33M12S,2019-01-20T17:00:46Z,1290074,16737,26,,512
account6,SuMDenIN5s8,45-Minute Cardio Kickboxing Boot Camp With The Hollywood Trainer Jeanette Jenkins,POPSUGAR Fitness,PT47M53S,2019-01-03T17:43:52Z,2565414,31580,26,,673
account6,lujcE3FGL_U,45-Minute Epic Cardio Boxing Workout With Christa DiPaolo | Class FitSugar,POPSUGAR Fitness,PT45M36S,2016-05-01T16:00:02Z,6303079,65611,26,,1638
account6,lw9SsJ08AEY,"45-Minute Calorie-Torching, Low-Impact Workout",POPSUGAR Fitness,PT48M21S,2018-07-22T16:00:28Z,834661,11049,26,,399
account6,Qn-EWs8-Yq0,Burn 400 Calories in 40 Minutes With This Bodyweight Workout,POPSUGAR Fitness,PT41M27S,2017-06-11T16:00:04Z,2567820,27133,26,,563
account6,P921J1Fjoug,45-Minute Cardio Pilates Total Body Workout,POPSUGAR Fitness,PT44M16S,2017-07-23T16:00:01Z,4435149,49300,26,,796
account6,QsiImYTLvTk,30-Minute Fat-Burning Cardio Sculpt Workout With The Hollywood Trainer Jeanette Jenkins,POPSUGAR Fitness,PT32M16S,2016-08-07T16:00:02Z,4333680,44802,26,,1026
account6,YJ3QuchrUNA,Burn 500 Calories in a 45-Minute Boxing Workout With Christa DiPaolo,POPSUGAR Fitness,PT48M37S,2017-11-05T17:00:07Z,3107224,36221,26,,1134
