account_id,video_id,video_title,channel_name,video_duration,date_of_publication,number_of_views,number_of_likes,video_category,number_of_dislikes,number_of_comments
account9,auogbJFitmI,Intro to Neuroanatomy - Neurophysiology - Neuroscience  - Central Nervous System,Dr. Najeeb Lectures,PT1H21M9S,2019-01-29T14:36:13Z,1710564,23821,27,,710
account9,uYm4l_alVV0,Respiratory | Mechanics of Breathing: Pressure Changes | Part 1,Ninja Nerd,PT31M41S,2017-07-07T21:57:20Z,929614,16527,27,,487
account9,0fVoz4V75_E,Anatomy and physiology of the respiratory system,Osmosis,PT10M29S,2017-06-14T18:17:47Z,1284083,24955,27,,531
account9,QllguanpKic,HEART ATTACK (ACS & MI),7activestudio,PT4M34S,2017-01-16T04:00:30Z,16029766,129459,27,,2223
account9,yXuiA_6q1eQ,How to Perform Dental Implants by MIS -Tutorial (3D Dental Animation),Arcreative Media,PT4M28S,2017-03-05T14:35:10Z,17441466,108574,1,,1622
account9,X3TAROotFfM,Human digestive system - How it works! (Animation),Thomas Schwenke,PT14M15S,2020-05-03T11:10:39Z,23222248,332738,28,,8717
account9,aPb-slJH9Vs,How we make pencils,Faber-Castell,PT4M35S,2018-12-03T14:42:46Z,14878907,557970,1,,21964
account9,XfyGv-xwjlI,"Diabetes Type 1 and Type 2, Animation.",Alila Medical Media,PT3M46S,2014-12-08T17:09:49Z,2173670,20113,27,,514
account9,izOa3-AX8zQ,Pregnancy - How a Wonder is Born! (Animation),Thomas Schwenke,PT19M35S,2021-04-30T22:54:41Z,36067690,257993,27,,8884
account9,rBZyKYoh2BU,Au coeur des organes : Coeur et vaisseaux,Inserm,PT3M54S,2016-04-15T14:31:09Z,2207335,22744,28,,722
account9,38MsEkhdECM,Introduction to the Skeletal System In 7 Minutes,CTE Skills.com,PT7M16S,2021-04-06T03:05:25Z,131804,2176,27,,44
account9,QsSdAXv5BEM,STD 10 (Science) - Nephron Structure and functions,Embibe: Achieve CBSE 11&12,PT4M39S,2015-09-14T12:40:53Z,1318958,21144,27,,0
account9,JQE2q-1bNZE,How we make our highlighters? Faber-Castell,Faber-Castell,PT4M12S,2020-11-27T16:58:34Z,4750074,177009,1,,4825
account9,fCJaFuUt1Es,Faber-Castell: A Tool for the Creative,Faber-Castell,PT11M11S,2011-12-13T18:03:45Z,108171,2002,27,,75
account9,37Kn-kIsVu8,Turning old jewelry into pure gold bars,NileRed,PT31M23S,2019-05-29T21:12:32Z,26306810,538029,28,,26645
account9,p1qxrG2pHNE,Woodturning - The Pencil Globe !!,Andy Phillip,PT10M43S,2020-12-18T10:00:33Z,16556921,249701,22,,10827
account9,hSi_QEqJgiw,Graf von Faber-Castell : Passion and Precision,Faber-Castell,PT2M27S,2012-08-28T13:51:57Z,146511,2607,28,,85
account9,K1VfdXmqjN8,How It's Made: Rubber Balls,Science Channel,PT4M55S,2019-10-31T14:30:01Z,4703889,44916,24,,1238
account9,2jf3lbhQR6I,How It's Made - LAMY Fountain Pens,The Goulet Pen Company,PT15M18S,2018-04-05T15:26:29Z,1214236,20910,22,,836
account9,jCKt02NGjfM,SUGAR | How It's Made,Discovery UK,PT7M55S,2018-07-21T13:00:03Z,25331495,148933,24,,11839
account9,1cXy7gxUtbU,Magic of Making - Glass Marbles,magicofmaking,PT7M2S,2010-11-09T22:21:47Z,10847692,91202,27,,8777
account9,BcUcPcIDLEo,칼로리는 잊으세요~ 초콜릿폭탄! 대왕 페레로 초코케익 -정항우케익 / King Ferrero Chocolate Cake-Korean Food Factory,푸드킹덤 Food Kingdom,PT19M31S,2021-01-31T13:45:32Z,31445686,259623,19,,7468
account9,UojXOLmzmz0,Handmade Candy Making / 수제 사탕 만들기 / Korean Candy Store,Soon Films 순필름,PT13M44S,2021-06-04T14:00:10Z,33842530,327777,19,,8483
account9,Y0HfmYBlF8g,Making aerogel,NileRed,PT43M56S,2020-03-30T21:45:08Z,21045472,507070,28,,23568
account9,-_qpzFlpgpo,Making metal crystals from Pepto-Bismol,NileRed,PT37M51S,2019-03-02T14:20:22Z,10985442,200200,28,,12643
account9,UNepy9ydeRs,Gold Recovery from RAM Gold Fingers,OG Bullion,PT20M14S,2021-03-27T16:01:18Z,1091925,12230,28,,432
account9,6IqED0MzDdE,Pawn Stars: TOP 5 GOLD & SILVER DEALS | History,Pawn Stars,PT26M50S,2021-09-10T18:00:05Z,4680520,49630,24,,2505
account9,M-VT5GEeNW0,Casting REAL Diamond YouTube Play Button,BrainfooTV,PT6M52S,2020-12-04T16:31:10Z,47173704,966311,24,,
account9,n0wvDwSnzcw,Making the world's most expensive carbonated water!,NileRed,PT26M25S,2019-12-28T16:52:30Z,8005965,287201,28,,18347
account9,AGR_NQbaaPI,How to recycle gold from cpu computer scrap. value of gold in cpu ceramic processors pins chip.,Archimedes Channel,PT15M42S,2018-03-25T18:01:31Z,15579483,108040,27,,3453
account9,RGw6fXprV9U,Making uranium glass,NileRed,PT30M3S,2020-02-15T21:27:02Z,7387547,199191,28,,15672
account9,x0SQ88bAjto,Making a bismuth knife to undo an injustice,NileBlue,PT29M57S,2020-11-26T22:30:00Z,6167531,222036,28,,16862
account9,ASQCa7mfjVo,Extracting gold from computer parts (Part 1),NileRed,PT14M21S,2016-07-19T17:09:55Z,4892426,58179,28,,1878
account9,IrdYueB9pY4,Aluminum and Mercury,NileRed,PT8M50S,2017-08-14T05:51:19Z,41288287,469400,28,,20745
account9,-_qpzFlpgpo,Making metal crystals from Pepto-Bismol,NileRed,PT37M51S,2019-03-02T14:20:22Z,10985442,200200,28,,12643
account9,95rL86GvweI,Forging a Copper Damascus Bowie Knife,Tyrell Knifeworks,PT19M25S,2021-07-18T13:00:03Z,2279812,62956,26,,6778
account9,JslxPjrMzqY,Going supercritical.,NileBlue,PT19M53S,2020-01-24T22:46:58Z,2927089,102315,28,,4715
account9,37Kn-kIsVu8,Turning old jewelry into pure gold bars,NileRed,PT31M23S,2019-05-29T21:12:32Z,26306810,538029,28,,26645
account9,yBIeavntc5U,除菌抗菌滅菌殺菌チョコレート包丁。食べたら歯が抜けまーす,圧倒的不審者の極み!,PT25M6S,2021-05-30T13:45:06Z,3162289,105644,28,,9133
account9,qVXlIaos37s,This project was a disaster.,NileBlue,PT21M12S,2020-06-05T20:56:07Z,2105561,78051,28,,4927
account9,FgdHZqSIO1M,いろいろ痛すぎるビスマス包丁と結晶,圧倒的不審者の極み!,PT15M3S,2019-01-19T13:00:03Z,22869497,375631,28,,29870
