account_id,video_id,video_title,channel_name,video_duration,date_of_publication,number_of_views,number_of_likes,video_category,number_of_dislikes,number_of_comments
account7,ScOKqmHwO_4,Учим цвета и цифры - Котэ представляет большой сборник - Игры мультфильмы для детей малышей,Котёнок Котэ - Песенки и мультики для детей,PT23M24S,2021-10-24T16:45:20Z,49724980,239911,1,,0
account7,4paDnqAXVzo,Кинетический песок сборник видео для детей,Игрушкин ТВ,PT45M29S,2017-08-22T08:21:24Z,4001539,12055,1,,
account7,YgGPBOvdjw8,Halloween Baby Shark Dance With Ollie + More Halloween Songs & Lullabies For Kids | Little Baby Bum,Lellobee Preschool Playhouse - Kids Songs,PT2H6M22S,2020-10-10T10:15:01Z,5205369,6020,27,,0
account7,OlI9n7OlHEA,Красный шар 4 подземные ходы мультик игра! Самое новые видео,Анимашка Познавашка,PT12M11S,2018-07-21T12:53:22Z,43242530,123372,1,,
account7,xoxJDkoEp3I,Влад и Никита играют с игрушками - Веселые истории для детей,Влад и Никита,PT32M20S,2021-09-22T05:00:18Z,32635032,144101,22,,
account7,2GWE8YpncKY,Learn Alphabets for Children ABC Songs Nursery Rhymes - Little Baby Play Grapes Kids Wooden Toy Set,Super Crazy Kids,PT20M59S,2019-01-08T11:00:01Z,2895067,,27,,0
account7,Qc_bor8hnCQ,УЧИМ ЦВЕТА И ЦИФРЫ Цветная Гусеница | Учимся считать от 1 до 10,Волшебство ТВ,PT14M32S,2017-08-25T15:00:37Z,190683479,450643,1,,0
account7,J0VLOPUIsi4,Five Kids Moving Song + more Children's Songs and Videos,Vania Mania Kids,PT1H59M18S,2021-09-01T12:51:35Z,101238620,346927,10,,
account7,lhrevJBtKfM,Цып-Цып - Мультики для малышей - БОЛЬШОЙ СБОРНИК  - Все серии подряд.,ЦЫП-ЦЫП ТВ Мультики для малышей,PT1H29M16S,2021-04-08T07:00:20Z,28891452,,1,,0
account7,abJvb3YfM6s,Learn Colors with 3D Soft Ice Cream for Children - Colours for Kids to Learn,edubuzzkids,PT12M34S,2017-09-20T12:16:25Z,8316131,,27,,0
account7,RVAsuHjmh9c,Learn Colors for Babies | Color Crew 3 Hours Compilation | Educational Learning Videos for Toddlers,"BabyFirst Learn Colors, ABCs, Rhymes & More",PT3H1M8S,2019-06-04T12:00:05Z,2721158,3016,27,,0
account7,qatl-ZPl1oY,The Colors Song (Rainbow Ducks) + more nursery rhymes & Kids songs - Baby yoyo,Baby yoyo - Nursery Rhymes,PT1H46S,2021-02-20T01:00:15Z,5478737,26132,27,,0
account7,w_smbqfspRo,"Новый КРАСНЫЙ ШАР, Красныш спасает бабушку, мультик игра, летсплей #74",Играем вместе,PT10M7S,2020-12-05T07:24:03Z,1463002,11585,24,,
account7,k9UMGkmbvw0,Мия учит Артема как важно чистить зубы | Мия Настя и Артем,Мия Настя Артем,PT11M51S,2021-09-26T05:23:30Z,13153339,77684,22,,
account7,AkBra--rQmE,Paw Patrol Miss Polly Had a Dolly Kids Song | JJ Doll Pretend Play Sing Along,WOW,PT48S,2021-12-14T16:30:02Z,2668064,15503,1,,0
account7,piM5GCZ6DlQ,КЕША СКУЧАЕТ ПО БРАТИКУ ТУЧКИ! Сборник ВОСПОМИНАНИЙ 🐻🦊☁️ МИ-МИ-МИШКИ Мультики с игрушками для детей,БэБизяка,PT1H9M32S,2021-09-06T15:18:57Z,1687155,20013,24,,
account7,GSHmWhbVg60,Bolajon likopcha rasm chizish |Сурет салу табақша |Сурет салып уйрену |draw dolls,Drawing for  children ,PT45S,2021-12-15T03:36:48Z,768816,4662,22,,0
account7,BW0tknEe_KM,Учим Диких Животных Слон Корова Лев обезьяна Бегемот Крокодил Развивающие Мультики #корова #song,Lion Animals,PT3M18S,2021-12-15T09:30:01Z,263935,7098,15,,0
account7,Cn_TDE8c5Lk,Bolalar uchun tuxum rasm chizish /Drawing Egg for children with kids song /Рисование яйцо для детей,Drawing for  children ,PT44S,2021-12-15T07:54:19Z,530651,3819,22,,0
account7,oUfKNOSU9UY,"Новый КРАСНЫЙ ШАР, Шарик спасает бабушку, мультик игра Детский летсплей #77",Играем вместе,PT10M53S,2021-05-22T08:01:57Z,693251,4851,24,,0
