video_duration,number_of_views,number_of_comments,channel_video_count,number_of_likes
1199,6495581,22191,277,238476
1987,10237195,13909,277,404994
466,7882375,6050,277,287917
808,9563958,25448,277,341457
1182,8783439,9451,277,283252
729,19220111,58925,718,1540260
725,28917564,78447,718,2100512
662,41760149,89660,718,2379958
1542,173745469,569000,718,12088169
295,52170705,177375,718,4122627
805,1608621,5121,4460,131577
500,2028533,6523,4460,156883
1030,1705618,6509,4460,116442
1016,2979912,7336,4460,222238
603,3268308,5008,4460,245789
939,49984,65,5016,1311
952,68395,107,5016,1739
1841,327311,,5016,2649
551,201140,159,5016,2039
917,145812,,5016,1696
6575,4867418,16019,141,212847
8413,10083798,59507,141,588719
7398,12614268,38990,141,420775
6247,4137581,19469,141,136087
7508,12063174,34934,141,418013
