video_duration,number_of_views,number_of_comments,channel_video_count,number_of_likes
553,92269,334,250,9583
539,83267,288,250,8960
375,109595,355,250,10938
403,106155,284,250,10301
327,106266,361,250,11888
2498,173102,2631,8,12510
2569,1060895,7947,8,57537
711,79723,550,8,6077
3106,595544,2811,8,29810
4270,83794,1397,8,6487
3307,31077,188,74,2560
3363,80681,251,74,4109
3096,55937,354,74,4273
3262,59022,219,74,3311
3633,57672,318,74,3747
595,142482,101,250,1623
1798,40341,29,250,446
2122,46109,21,250,460
1171,17189,45,250,236
2247,107517,39,250,903
508,14593,742,188,2658
795,6201,118,188,1242
701,7117,69,188,1626
645,8181,89,188,1622
906,8061,90,188,1142
