account_id,video_id,video_title,channel_name,video_duration,date_of_publication,number_of_views,number_of_likes,video_category,number_of_dislikes,number_of_comments
account2,h8SZV12pnmo,🐝 Beautiful Bumblebees ~ AMAZING NATURE SCENERY on Planet Earth & The Best Relax Music (1080p HD),Cat Trumpet,PT3H,2018-07-13T10:54:57Z,144413.0,1065.0,10.0,,52.0
account2,QLjGi1I8RXI,호텔 라운지에서 듣는 크리스마스 분위기 재즈 음악,BUCKET MUSIC,PT3H16M35S,2021-11-08T13:30:10Z,657389.0,4176.0,10.0,,64.0
account2,JtVd7q25FDA,"The Best Relaxing Garden in 4K - Butterflies, Birds and Flowers🌻🐦 2 hours - 4K UHD Screensaver",Balu - Relaxing Nature in 4K,PT2H3M5S,2017-02-28T14:25:33Z,5041602.0,12501.0,10.0,,314.0
account2,iqPWIR0Cy6I,Vintage Christmas Room Ambience with Crackling Fireplace 24/7 🔥 (NO MUSIC),Cat Trumpet,P0D,2021-12-09T18:41:57Z,25002.0,592.0,10.0,,0.0
account2,LnEJlHaWUHA,Most Relaxing Christmas Piano Music 2021 🎄🎅 with Fireplace 24/7 🔥,Cat Trumpet,P0D,2021-12-06T13:35:52Z,230189.0,1356.0,10.0,,0.0
account2,3S1GFgH954k,"CORAL REEF AQUARIUM COLLECTION  「24/7」 🔴 Relaxing Music for Sleep, Study, Yoga & Meditation",Cat Trumpet,P0D,2021-10-21T09:45:34Z,78868.0,792.0,10.0,,0.0
account2,YymhpFhQ0Gw,STUDIO GHIBLI MUSIC 24/7  ~ Relaxing Music for Sleep & Study スタジオジブリ音楽,Cat Trumpet,P0D,2021-10-21T09:42:59Z,41624.0,953.0,10.0,,
account2,kOnIAoqQkd4,24/7 Best Relaxing Fireplace Sounds - Burning Fireplace & Crackling Fire Sounds (NO MUSIC) 🔥,Cat Trumpet,P0D,2020-06-22T10:03:41Z,5165481.0,35952.0,10.0,,0.0
account2,tlUcmD0zPI4,Chill Music for Focus and Creativity — Deep Concentration Mix,Chill Music Lab,PT1H14M34S,2021-09-01T13:24:29Z,3005888.0,52330.0,10.0,,833.0
account2,Umr0O6z7ML0,"Beautiful Music, Relaxing Music, Peaceful Instrumental Music ""Birds of the Forest' 4K ULTRA HD",The Soul Piano Music,P0D,2021-12-14T01:51:42Z,6419.0,375.0,10.0,,0.0
account2,2s25sE72R7w,"Best Good Morning Music ♪ NEW Positive Energy - Stress Relief, Meditation, Healing Music",Morning Meditation Music ♪,PT1H12M35S,2021-12-13T22:37:20Z,5192.0,518.0,10.0,,4.0
account2,fc9rh4DjIcY,[PLAYLIST] 공부할때 듣기 좋은 지브리 OST 모음 | Studio Ghibli Best Songs Collection,"쉼표 COMMA,",PT1H13M28S,2020-09-28T06:51:21Z,754600.0,21447.0,10.0,,135.0
account2,oQUA3tQS0To,Studio Ghibli Summer Night Deep Sleep Piano Medley(No Mid-roll Ads),kno Music,PT7H55M30S,2021-07-27T10:00:32Z,170811.0,2915.0,10.0,,32.0
account2,OdUu9zLY5qI,Relaxing music without ads Ghibli Studio Ghibli Concert [BGM for work / healing / study],Relaxation Day,PT10H33M32S,2021-05-25T23:21:18Z,16374.0,368.0,22.0,,14.0
account2,5qap5aO4i9A,lofi hip hop radio - beats to relax/study to,Lofi Girl,P0D,2020-02-22T19:51:37Z,538463153.0,6887259.0,10.0,,20.0
account2,iqPWIR0Cy6I,Vintage Christmas Room Ambience with Crackling Fireplace 24/7 🔥 (NO MUSIC),Cat Trumpet,P0D,2021-12-09T18:41:57Z,25002.0,592.0,10.0,,0.0
account2,3S1GFgH954k,"CORAL REEF AQUARIUM COLLECTION  「24/7」 🔴 Relaxing Music for Sleep, Study, Yoga & Meditation",Cat Trumpet,P0D,2021-10-21T09:45:34Z,78868.0,792.0,10.0,,0.0
account2,LnEJlHaWUHA,Most Relaxing Christmas Piano Music 2021 🎄🎅 with Fireplace 24/7 🔥,Cat Trumpet,P0D,2021-12-06T13:35:52Z,230189.0,1356.0,10.0,,0.0
